Metric,Value
total_arrows,118
total_dependencies,554
max_in_degree,36
edges_per_arrow,4.694915254237288
dependency_density,0.040127480805446904
has_cycle_bool,False
approx_max_dependency_depth_nodes,29
max_row_blockers,20
max_col_blockers,23
avg_row_blockers,13.342857142857143
avg_col_blockers,14.485714285714286
crowded_rows,24
crowded_cols,26
critical_longest_nodes,29
critical_chain_scc_indices,"[116, 104, 94, 93, 81, 64, 63, 62, 61, 57, 49, 48, 45, 39, 38, 37, 23, 22, 21, 19, 17, 15, 14, 13, 10, 8, 7, 1, 0]"
critical_edges_on_chain,68
